"RentedBikes","Hour","Temperature","Humidity","Wind.speed","Visibility","Dew.point.temperature","Solar.Radiation","Rainfall","Snowfall","Holiday"
254,0,-5.2,37,2.2,2000,-17.6,0,0,0,2
204,1,-5.5,38,0.8,2000,-17.6,0,0,0,2
173,2,-6,39,1,2000,-17.7,0,0,0,2
107,3,-6.2,40,0.9,2000,-17.6,0,0,0,2
78,4,-6,36,2.3,2000,-18.6,0,0,0,2
100,5,-6.4,37,1.5,2000,-18.7,0,0,0,2
181,6,-6.6,35,1.3,2000,-19.5,0,0,0,2
460,7,-7.4,38,0.9,2000,-19.3,0,0,0,2
930,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,2
490,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,2
339,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,2
360,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,2
449,12,1.7,23,1.4,2000,-17.2,1.11,0,0,2
451,13,2.4,25,1.6,2000,-15.6,1.16,0,0,2
447,14,3,26,2,2000,-14.6,1.01,0,0,2
463,15,2.1,36,3.2,2000,-11.4,0.54,0,0,2
484,16,1.2,54,4.2,793,-7,0.24,0,0,2
555,17,0.8,58,1.6,2000,-6.5,0.08,0,0,2
862,18,0.6,66,1.4,2000,-5,0,0,0,2
600,19,0,77,1.7,2000,-3.5,0,0,0,2
426,20,-0.3,79,1.5,1913,-3.5,0,0,0,2
405,21,-0.8,81,0.8,1687,-3.6,0,0,0,2
398,22,-0.9,83,1.5,1380,-3.4,0,0,0,2
323,23,-1.3,84,1,1265,-3.6,0,0,0,2
328,0,-1.8,87,1.1,994,-3.6,0,0,0,2
308,1,-2.2,86,0.6,990,-4.2,0,0,0,2
262,2,-2.9,86,1.5,1256,-4.9,0,0,0,2
167,3,-3.5,81,2.2,1221,-6.2,0,0,0,2
89,4,-3.8,79,2,1167,-6.9,0,0,0,2
79,5,-4,79,1.5,1202,-7.1,0,0,0,2
70,6,-4.3,82,2.1,1178,-6.9,0,0,0,2
146,7,-4.4,81,2.5,1276,-7.1,0,0,0,2
219,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,2
328,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,2
334,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,2
388,11,1.9,49,1.8,1406,-7.7,1,0,0,2
479,12,4.3,41,1.3,1666,-7.8,1.09,0,0,2
606,13,6,36,1.8,1780,-7.9,1.12,0,0,2
611,14,7.3,35,1.3,1955,-7.1,0.99,0,0,2
589,15,7.6,41,2.3,1953,-4.8,0.74,0,0,2
618,16,6.4,48,2.6,1945,-3.8,0.22,0,0,2
572,17,6,51,2.5,1891,-3.3,0.06,0,0,2
489,18,5.5,53,1.5,1697,-3.3,0,0,0,2
385,19,5,52,2.3,1666,-4,0,0,0,2
359,20,4.6,51,1.2,1585,-4.6,0,0,0,2
377,21,4.1,55,1.2,1448,-4.1,0,0,0,2
354,22,3.5,54,1.5,1446,-4.9,0,0,0,2
366,23,4,56,1,1352,-4,0,0,0,2
342,0,4,58,1.4,1296,-3.5,0,0,0,2
227,1,3.9,69,1.7,485,-1.2,0,0,0,2
228,2,3.3,79,1.4,830,0,0,0,0,2
117,3,3.4,71,1.6,1011,-1.3,0,0.5,0,2
76,4,3.5,73,1,1060,-0.8,0,0,0,2
32,5,3.9,75,1.9,914,-0.1,0,0,0,2
13,6,3.4,86,2.5,278,1.2,0,1,0,2
22,7,3.1,91,1.2,129,1.7,0,0,0,2
85,8,3.2,92,1.8,244,2,0,0,0,2
152,9,3.5,91,1.8,231,2.1,0.02,2.5,0,2
200,10,4.4,89,2.2,257,2.7,0.24,0,0,2
273,11,5.1,87,1.4,321,3.1,0.25,0,0,2
333,12,5.8,85,1.7,349,3.4,0.43,0,0,2
495,13,6.8,81,1.9,390,3.7,0.6,0,0,2
563,14,7.6,76,1.2,422,3.6,0.69,0,0,2
