f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f45;f46;f47;f48;f49;f50;f51;f52;f53;f54;f55;f56;f57;label
76.34;37.17;77.75;66.55;44.05;55.24;54.55;30.15;55.64;46.53;59.48;44.82;61.04;53.27;45.02;51.64;75.51;51.67;54.39;48.74;55.3;63.46;38.82;43.29;42.95;60.64;42.06;64.22;68.16;52.21;3.23;34.31;40.86;57.93;16.23;23.2;45.49;32.12;43.67;39.09;35.69;19.47;42.58;43.41;42.8;41.05;23.65;29.65;46.23;38.95;42.15;35.42;28.7;21.1;44.13;19.44;59.62;1
34.29;22.65;25.36;45.69;23.85;22.85;22.03;16.23;29.86;21.52;26.87;44.51;25.04;39.83;28.03;26.98;31.81;21.02;39.8;38.85;53.86;40.88;15.46;12.57;12.11;21.67;25.35;42.48;18.16;31.55;68.78;19.96;34.23;34.88;38.31;20.94;27.93;38.9;13.87;25.08;36.48;42.03;42.48;23.73;13.73;35.05;37.06;31.06;41.67;34.49;13.83;41.37;30.61;39.69;40.64;26.74;50.18;0
69.2;30.12;36.31;28.3;32.6;57.64;45.89;54.96;74.44;28.2;55.2;30.51;85.42;32.13;57.89;50.11;53.32;64.7;57.5;43.57;49.51;41.24;47.45;46.11;39.6;72.8;71.21;52.97;64.62;33.07;27.69;17.97;32.64;54.05;44.02;35.05;31.37;35.07;45.83;24.8;40.23;35.54;24.05;42.35;42.24;44.75;31.84;21.88;42.83;43.73;46.17;31.75;0.0;42.67;39.58;15.51;19.84;1
38.23;9.34;32.19;42.39;25.77;15.74;28.83;33.69;21.31;20.01;16.04;26.68;38.75;10.95;26.0;11.19;18.58;27.16;36.93;26.36;36.17;28.94;41.74;16.34;43.81;36.39;28.31;21.95;18.92;27.07;47.12;15.26;47.88;24.59;39.55;52.83;43.58;26.25;41.88;22.47;41.08;30.18;47.61;41.85;38.95;43.6;33.5;35.22;35.99;32.46;41.78;44.49;27.72;43.66;30.68;16.42;29.25;0
29.27;23.26;49.6;27.79;22.75;35.83;18.7;24.71;48.6;15.43;14.35;27.55;34.86;27.83;5.47;19.06;40.87;15.53;38.23;19.2;22.64;33.49;26.34;39.03;18.05;23.24;16.61;27.86;16.03;23.39;39.25;41.31;22.63;33.77;42.61;55.18;36.54;32.84;38.88;39.72;30.22;32.38;17.53;48.31;36.18;33.5;5.22;27.29;40.26;19.95;32.26;56.21;50.37;23.54;37.6;31.74;31.44;0
35.77;15.84;23.39;19.09;22.52;17.48;43.34;33.54;35.9;29.4;33.32;2.5;27.31;37.85;16.53;22.08;42.36;26.93;35.33;26.46;24.03;0.0;28.04;24.34;43.23;22.49;11.99;31.45;37.39;21.75;40.62;14.56;9.91;54.1;17.03;37.66;40.08;23.56;49.68;21.89;40.57;33.24;44.52;42.27;74.55;44.78;20.29;36.88;24.49;22.64;32.04;57.23;26.51;13.91;43.26;21.48;38.76;0
45.0;3.47;35.85;13.55;24.19;0.0;33.44;19.67;35.85;14.83;21.39;23.32;36.5;7.0;43.12;18.91;34.55;25.52;13.37;15.14;16.09;36.92;37.84;25.39;29.57;29.24;20.36;27.68;40.71;18.22;39.0;36.88;44.19;43.78;38.1;42.21;47.36;40.61;29.63;22.06;30.13;16.62;37.75;25.85;51.18;45.72;25.25;35.54;51.02;39.0;32.72;52.75;18.04;17.34;55.27;26.74;27.54;0
38.41;26.2;36.95;24.28;26.57;13.47;33.41;16.77;29.92;38.16;36.52;38.03;32.47;11.71;4.03;26.8;32.78;29.17;24.43;21.41;30.24;28.36;27.0;23.59;32.53;25.27;11.9;34.87;21.28;24.64;57.9;28.12;36.39;44.42;56.75;21.46;60.87;34.48;20.53;32.9;23.23;33.17;34.54;41.73;64.61;35.53;46.85;40.42;31.4;27.69;41.81;55.04;13.14;35.31;31.96;34.36;16.39;0
59.08;37.86;51.66;53.41;51.09;45.06;49.01;37.99;63.1;31.75;49.22;60.26;55.84;64.76;44.68;36.96;51.83;51.03;44.78;52.41;60.33;40.77;40.65;63.5;53.2;60.13;61.09;45.67;72.88;81.07;45.88;28.72;3.81;42.63;38.1;26.24;26.84;42.4;53.76;49.43;38.59;38.2;44.15;34.61;31.47;31.06;16.6;41.68;47.89;22.02;37.47;29.12;23.29;47.93;51.48;26.11;25.45;1
62.53;36.98;67.25;33.68;45.7;49.45;33.81;51.86;52.48;5.77;51.26;77.03;64.89;35.06;43.12;48.83;44.94;40.18;67.08;44.96;75.9;81.99;53.46;85.22;38.55;47.62;71.44;56.01;69.63;44.15;44.25;18.1;36.2;47.64;32.03;16.01;31.05;38.9;19.66;19.0;23.52;30.44;36.91;36.77;4.68;44.0;35.59;36.25;43.11;32.35;29.38;63.21;24.86;46.27;38.55;17.54;28.54;1
